Power(kW),Voltage(V),Current(A),Charge(Ah)
3.15E+00,2.92E+02,1.40E+01,3.99E+00
2.32E+00,2.91E+02,1.10E+01,3.13E+00
1.74E+00,2.92E+02,9.07E+00,2.44E+00
1.32E+00,2.91E+02,7.60E+00,1.87E+00
1.04E+00,2.90E+02,6.50E+00,1.39E+00
7.67E-01,2.90E+02,5.77E+00,9.77E-01
5.84E-01,2.90E+02,4.85E+00,6.12E-01
4.31E-01,2.90E+02,4.40E+00,2.89E-01
2.01E+01,3.88E+02,5.81E+01,5.17E+01
2.04E+01,3.75E+02,6.03E+01,4.83E+01
2.04E+01,3.70E+02,6.13E+01,4.48E+01
2.04E+01,3.63E+02,6.23E+01,4.13E+01
2.05E+01,3.56E+02,6.32E+01,3.77E+01
2.04E+01,3.50E+02,6.46E+01,3.41E+01
2.04E+01,3.43E+02,6.59E+01,3.04E+01
2.04E+01,3.34E+02,6.76E+01,2.66E+01
2.05E+01,3.25E+02,6.94E+01,2.27E+01
2.05E+01,3.14E+02,7.17E+01,1.86E+01
1.79E+01,3.05E+02,6.47E+01,1.45E+01
1.28E+01,3.00E+02,4.74E+01,1.14E+01
9.28E+00,2.97E+02,3.58E+01,9.00E+00
6.87E+00,2.95E+02,2.73E+01,7.22E+00
5.19E+00,2.94E+02,2.12E+01,5.85E+00
3.94E+00,2.93E+02,1.68E+01,4.77E+00
3.03E+00,2.92E+02,1.37E+01,3.90E+00
2.42E+00,2.92E+02,1.14E+01,3.19E+00
1.90E+00,2.91E+02,9.71E+00,2.59E+00
1.56E+00,2.91E+02,8.33E+00,2.07E+00
1.26E+00,2.91E+02,7.51E+00,1.62E+00
1.01E+00,2.91E+02,6.41E+00,1.22E+00
8.28E-01,2.90E+02,5.95E+00,8.67E-01
6.75E-01,2.90E+02,5.40E+00,5.50E-01
5.23E-01,2.90E+02,4.76E+00,2.61E-01
